date,period,decision_time,action,message_type,matched_app_time
2024-03-05,morning,2024-03-05 07:30:00,0,,2024-03-04 20:30:00
2024-03-05,evening,2024-03-05 20:30:00,0,,2024-03-04 20:30:00
2024-03-06,morning,2024-03-06 07:30:00,0,,2024-03-04 20:30:00
2024-03-06,evening,2024-03-06 20:30:00,0,,2024-03-04 20:30:00
2024-03-07,morning,2024-03-07 07:30:00,0,,2024-03-04 20:30:00
2024-03-07,evening,2024-03-07 20:30:00,1,SR-46,2024-03-04 20:30:00
2024-03-08,morning,2024-03-08 07:30:00,0,,2024-03-04 20:30:00
2024-03-08,evening,2024-03-08 20:30:00,0,,2024-03-04 20:30:00
2024-03-09,morning,2024-03-09 08:30:00,0,,2024-03-04 20:30:00
2024-03-09,evening,2024-03-09 20:30:00,0,,2024-03-04 20:30:00
2024-03-10,morning,2024-03-10 08:30:00,0,,2024-03-04 20:30:00
2024-03-10,evening,2024-03-10 20:30:00,0,,2024-03-04 20:30:00
2024-03-11,morning,2024-03-11 07:30:00,1,SR-44,2024-03-04 20:30:00
2024-03-11,evening,2024-03-11 20:30:00,1,SR-14,2024-03-11 18:28:00
2024-03-12,morning,2024-03-12 07:30:00,0,,2024-03-11 18:28:00
2024-03-12,evening,2024-03-12 20:30:00,1,RP-48,2024-03-11 18:28:00
2024-03-13,morning,2024-03-13 07:30:00,0,,2024-03-11 18:28:00
2024-03-13,evening,2024-03-13 20:30:00,1,RP-25,2024-03-11 18:28:00
2024-03-14,morning,2024-03-14 07:30:00,1,QA-03,2024-03-11 18:28:00
2024-03-14,evening,2024-03-14 20:30:00,0,,2024-03-11 18:28:00
2024-03-15,morning,2024-03-15 07:30:00,0,,2024-03-11 18:28:00
2024-03-15,evening,2024-03-15 20:30:00,0,,2024-03-11 18:28:00
2024-03-16,morning,2024-03-16 08:30:00,0,,2024-03-11 18:28:00
2024-03-16,evening,2024-03-16 20:30:00,0,,2024-03-11 18:28:00
2024-03-17,morning,2024-03-17 08:30:00,0,,2024-03-11 18:28:00
2024-03-17,evening,2024-03-17 20:30:00,1,SR-49,2024-03-11 18:28:00
2024-03-18,morning,2024-03-18 07:30:00,0,,2024-03-11 18:28:00
2024-03-18,evening,2024-03-18 20:30:00,0,,2024-03-11 18:28:00
2024-03-19,morning,2024-03-19 07:30:00,0,,2024-03-11 18:28:00
2024-03-19,evening,2024-03-19 20:30:00,1,RP-49,2024-03-11 18:28:00
2024-03-20,morning,2024-03-20 07:30:00,1,QA-04,2024-03-11 18:28:00
2024-03-20,evening,2024-03-20 20:30:00,1,SR-50,2024-03-11 18:28:00
2024-03-21,morning,2024-03-21 07:30:00,0,,2024-03-11 18:28:00
2024-03-21,evening,2024-03-21 20:30:00,0,,2024-03-11 18:28:00
2024-03-22,morning,2024-03-22 07:30:00,1,QA-26,2024-03-11 18:28:00
2024-03-22,evening,2024-03-22 20:30:00,0,,2024-03-11 18:28:00
2024-03-23,morning,2024-03-23 08:30:00,1,RP-01,2024-03-11 18:28:00
2024-03-23,evening,2024-03-23 20:30:00,1,SR-48,2024-03-11 18:28:00
2024-03-24,morning,2024-03-24 08:30:00,1,RP-48,2024-03-11 18:28:00
2024-03-24,evening,2024-03-24 20:30:00,0,,2024-03-11 18:28:00
2024-03-25,morning,2024-03-25 07:30:00,0,,2024-03-11 18:28:00
2024-03-25,evening,2024-03-25 20:30:00,0,,2024-03-11 18:28:00
2024-03-26,morning,2024-03-26 07:30:00,1,QA-20,2024-03-11 18:28:00
2024-03-26,evening,2024-03-26 20:30:00,0,,2024-03-26 11:25:00
2024-03-27,morning,2024-03-27 07:30:00,0,,2024-03-26 11:25:00
2024-03-27,evening,2024-03-27 20:30:00,1,FB-16,2024-03-26 11:25:00
2024-03-28,morning,2024-03-28 07:30:00,1,SR-34,2024-03-26 11:25:00
2024-03-28,evening,2024-03-28 20:30:00,0,,2024-03-26 11:25:00
2024-03-29,morning,2024-03-29 07:30:00,0,,2024-03-26 11:25:00
2024-03-29,evening,2024-03-29 20:30:00,0,,2024-03-26 11:25:00
2024-03-30,morning,2024-03-30 08:30:00,0,,2024-03-26 11:25:00
2024-03-30,evening,2024-03-30 20:30:00,1,RP-34,2024-03-26 11:25:00
2024-03-31,morning,2024-03-31 08:30:00,1,SR-38,2024-03-26 11:25:00
2024-03-31,evening,2024-03-31 20:30:00,0,,2024-03-26 11:25:00
2024-04-01,morning,2024-04-01 07:30:00,0,,2024-03-26 11:25:00
2024-04-01,evening,2024-04-01 20:30:00,0,,2024-03-26 11:25:00
2024-04-02,morning,2024-04-02 07:30:00,0,,2024-03-26 11:25:00
2024-04-02,evening,2024-04-02 20:30:00,1,FB-23,2024-03-26 11:25:00
2024-04-03,morning,2024-04-03 07:30:00,1,RP-26,2024-03-26 11:25:00
2024-04-03,evening,2024-04-03 20:30:00,1,SR-38,2024-03-26 11:25:00
2024-04-04,morning,2024-04-04 07:30:00,0,,2024-04-03 20:34:00
2024-04-04,evening,2024-04-04 20:30:00,0,,2024-04-03 20:34:00
2024-04-05,morning,2024-04-05 07:30:00,0,,2024-04-03 20:34:00
2024-04-05,evening,2024-04-05 20:30:00,1,SR-48,2024-04-03 20:34:00
2024-04-06,morning,2024-04-06 08:30:00,0,,2024-04-05 22:31:00
2024-04-06,evening,2024-04-06 20:30:00,0,,2024-04-05 22:31:00
2024-04-07,morning,2024-04-07 08:30:00,1,QA-16,2024-04-05 22:31:00
2024-04-07,evening,2024-04-07 20:30:00,0,,2024-04-05 22:31:00
2024-04-08,morning,2024-04-08 07:30:00,0,,2024-04-05 22:31:00
2024-04-08,evening,2024-04-08 20:30:00,0,,2024-04-05 22:31:00
2024-04-09,morning,2024-04-09 07:30:00,0,,2024-04-05 22:31:00
2024-04-09,evening,2024-04-09 20:30:00,0,,2024-04-05 22:31:00
2024-04-10,morning,2024-04-10 07:30:00,1,RP-04,2024-04-05 22:31:00
2024-04-10,evening,2024-04-10 20:30:00,1,SR-19,2024-04-10 20:30:00
2024-04-11,morning,2024-04-11 07:30:00,0,,2024-04-10 20:30:00
2024-04-11,evening,2024-04-11 20:30:00,0,,2024-04-10 20:30:00
2024-04-12,morning,2024-04-12 07:30:00,1,RP-01,2024-04-10 20:30:00
2024-04-12,evening,2024-04-12 20:30:00,1,FB-05,2024-04-12 20:30:00
2024-04-13,morning,2024-04-13 08:30:00,0,,2024-04-12 20:30:00
2024-04-13,evening,2024-04-13 20:30:00,0,,2024-04-12 20:30:00
2024-04-14,morning,2024-04-14 08:30:00,1,SR-04,2024-04-12 20:30:00
2024-04-14,evening,2024-04-14 20:30:00,0,,2024-04-14 09:04:00
2024-04-15,morning,2024-04-15 07:30:00,0,,2024-04-14 09:04:00
2024-04-15,evening,2024-04-15 20:30:00,0,,2024-04-14 09:04:00
2024-04-16,morning,2024-04-16 07:30:00,0,,2024-04-14 09:04:00
2024-04-16,evening,2024-04-16 20:30:00,0,,2024-04-14 09:04:00
